bmm,layer_class,batch,m,k,n,us,tflops,gbps,sm_mhz,power_w,relerr,backend
C5_w_kc,swa_mtp,64,1,192,1024,9.856,2.55,742.03,2062,229.2,1.3449e-01,CUTLASS
C5_w_kc,swa_mtp,64,1,192,1024,9.898,2.54,738.88,2062,229.2,1.3448e-01,CUBLASLT
C5_w_kc,swa_mtp,64,2,192,1024,10.202,4.93,730.31,2062,229.2,1.3421e-01,CUTLASS
C5_w_kc,swa_mtp,64,2,192,1024,6.413,7.85,1161.80,2062,232.9,1.3420e-01,CUBLASLT
C5_w_kc,swa_mtp,64,4,192,1024,10.054,10.01,768.36,2062,230.6,1.3450e-01,CUTLASS
C5_w_kc,swa_mtp,64,4,192,1024,6.410,15.70,1205.16,2062,233.4,1.3450e-01,CUBLASLT
C5_w_kc,swa_mtp,64,8,192,1024,10.218,19.70,809.74,2062,230.0,1.3422e-01,CUTLASS
C5_w_kc,swa_mtp,64,8,192,1024,6.470,31.12,1278.81,2062,239.3,1.3422e-01,CUBLASLT
C5_w_kc,swa_mtp,64,16,192,1024,10.016,40.20,935.67,2062,229.2,1.3414e-01,CUTLASS
C5_w_kc,swa_mtp,64,16,192,1024,6.566,61.32,1427.30,2062,231.1,1.3413e-01,CUBLASLT
C5_w_kc,swa_mtp,64,32,192,1024,9.738,82.70,1187.83,2062,229.2,1.3439e-01,CUTLASS
C5_w_kc,swa_mtp,64,32,192,1024,6.662,120.88,1736.28,2062,229.2,1.3438e-01,CUBLASLT
C5_w_kc,swa_mtp,64,64,192,1024,9.776,164.75,1632.37,2062,229.2,1.3436e-01,CUTLASS
C5_w_kc,swa_mtp,64,64,192,1024,6.934,232.28,2301.42,2062,229.2,1.3435e-01,CUBLASLT
C5_w_kc,swa_mtp,64,128,192,1024,10.102,318.87,2449.00,2062,230.7,1.3440e-01,CUTLASS
C5_w_kc,swa_mtp,64,128,192,1024,7.011,459.45,3528.72,2062,233.5,1.3439e-01,CUBLASLT
C5_w_kc,swa_mtp,64,256,192,1024,13.718,469.63,3090.96,2062,229.2,1.3434e-01,CUTLASS
C5_w_kc,swa_mtp,64,256,192,1024,9.667,666.44,4386.24,2062,235.4,1.3433e-01,CUBLASLT
C5_w_kc,swa_mtp,64,1024,192,1024,40.877,630.42,3629.76,2062,229.2,1.3436e-01,CUTLASS
C5_w_kc,swa_mtp,64,1024,192,1024,29.213,882.13,5079.02,2062,235.5,1.3434e-01,CUBLASLT
C5_w_kc,swa_mtp,64,2048,192,1024,77.651,663.73,3730.40,2062,229.2,1.3434e-01,CUTLASS
C5_w_kc,swa_mtp,64,2048,192,1024,48.806,1056.01,5935.11,2062,229.2,1.3434e-01,CUBLASLT
C5_w_kc,swa_mtp,64,4096,192,1024,151.252,681.51,3783.49,2062,229.2,1.3441e-01,CUTLASS
C5_w_kc,swa_mtp,64,4096,192,1024,96.035,1073.35,5958.87,2062,230.0,1.3439e-01,CUBLASLT
C5_w_kc,swa_mtp,64,8192,192,1024,297.770,692.34,3819.87,2062,229.1,1.3440e-01,CUTLASS
C5_w_kc,swa_mtp,64,8192,192,1024,189.226,1089.48,6011.03,2062,229.1,1.3439e-01,CUBLASLT
C5_w_kc,swa_mtp,64,16384,192,1024,591.849,696.66,3831.73,2062,230.0,1.3441e-01,CUTLASS
C5_w_kc,swa_mtp,64,16384,192,1024,373.943,1102.62,6064.58,2062,230.6,1.3440e-01,CUBLASLT
