variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp1,257,3072,5120,1,9,37.463,7.56,3904.31,2062,238.6,CUTLASS
tp1,257,3072,5120,1,9,64.490,4.39,2268.06,2062,221.9,CUBLASLT
tp1,257,3072,5120,2,18,58.055,9.75,4759.17,2062,241.4,CUTLASS
tp1,257,3072,5120,2,18,88.471,6.40,3122.99,2062,241.9,CUBLASLT
tp1,257,3072,5120,4,36,89.088,12.71,5473.52,2062,258.8,CUTLASS
tp1,257,3072,5120,4,36,121.783,9.30,4004.05,2062,267.8,CUBLASLT
tp1,257,3072,5120,8,72,143.415,15.79,6233.98,2062,273.1,CUTLASS
tp1,257,3072,5120,8,72,194.576,11.64,4594.84,2062,291.0,CUBLASLT
tp1,257,3072,5120,16,144,244.689,18.51,6710.26,2062,310.9,CUTLASS
tp1,257,3072,5120,16,144,312.788,14.48,5249.33,2062,312.2,CUBLASLT
tp1,257,3072,5120,32,288,382.219,23.70,6976.91,2062,339.6,CUTLASS
tp1,257,3072,5120,32,288,494.091,18.34,5397.20,2062,345.9,CUBLASLT
tp1,257,3072,5120,64,576,521.694,34.73,7047.95,2062,379.6,CUTLASS
tp1,257,3072,5120,64,576,668.847,27.09,5497.33,2062,376.5,CUBLASLT
tp1,257,3072,5120,128,1152,581.423,62.33,7061.33,2062,413.7,CUTLASS
tp1,257,3072,5120,128,1152,745.557,48.61,5506.78,2062,416.3,CUBLASLT
tp1,257,3072,5120,256,2304,599.682,120.86,7003.41,2062,432.8,CUTLASS
tp1,257,3072,5120,256,2304,767.160,94.48,5474.50,2062,443.2,CUBLASLT
tp1,257,3072,5120,1024,9216,624.901,463.93,6845.56,2062,447.4,CUTLASS
tp1,257,3072,5120,1024,9216,806.121,359.64,5306.64,2062,442.9,CUBLASLT
tp1,257,3072,5120,2048,18432,650.338,891.57,6737.68,2062,452.0,CUTLASS
tp1,257,3072,5120,2048,18432,728.353,796.07,6016.00,2062,469.2,CUBLASLT
tp1,257,3072,5120,4096,36864,806.835,1437.27,5691.56,2062,477.2,CUTLASS
tp1,257,3072,5120,4096,36864,868.483,1335.25,5287.56,2062,487.0,CUBLASLT
tp1,257,3072,5120,8192,73728,1128.000,2056.10,4444.40,2062,511.4,CUTLASS
tp1,257,3072,5120,8192,73728,1051.000,2206.74,4770.02,2062,519.2,CUBLASLT
tp1,257,3072,5120,16384,147456,1851.000,2505.98,3163.53,2062,580.6,CUTLASS
tp1,257,3072,5120,16384,147456,1842.000,2518.22,3178.99,2023,604.0,CUBLASLT
tp4,257,768,5120,1,9,18.637,3.80,1971.32,2062,223.5,CUTLASS
tp4,257,768,5120,1,9,42.682,1.66,860.77,2062,221.6,CUBLASLT
tp4,257,768,5120,2,18,23.152,6.11,2997.74,2062,240.2,CUTLASS
tp4,257,768,5120,2,18,43.274,3.27,1603.82,2062,240.2,CUBLASLT
tp4,257,768,5120,4,36,34.183,8.28,3583.81,2062,258.2,CUTLASS
tp4,257,768,5120,4,36,56.963,4.97,2150.61,2062,258.2,CUBLASLT
tp4,257,768,5120,8,72,52.471,10.79,4281.09,2062,276.7,CUTLASS
tp4,257,768,5120,8,72,75.600,7.49,2971.33,2062,277.7,CUBLASLT
tp4,257,768,5120,16,144,78.554,14.42,5252.26,2062,296.7,CUTLASS
tp4,257,768,5120,16,144,101.760,11.13,4054.50,2062,299.4,CUBLASLT
tp4,257,768,5120,32,288,115.351,19.64,5810.98,2062,315.7,CUTLASS
tp4,257,768,5120,32,288,148.887,15.21,4502.09,2062,327.4,CUBLASLT
tp4,257,768,5120,64,576,147.466,30.72,6271.96,2062,340.6,CUTLASS
tp4,257,768,5120,64,576,182.164,24.87,5077.30,2062,345.3,CUBLASLT
tp4,257,768,5120,128,1152,162.788,55.65,6356.11,2062,370.5,CUTLASS
tp4,257,768,5120,128,1152,204.359,44.33,5063.14,2062,370.5,CUBLASLT
tp4,257,768,5120,256,2304,171.153,105.87,6209.44,2062,381.0,CUTLASS
tp4,257,768,5120,256,2304,208.944,86.72,5086.36,2062,373.8,CUBLASLT
