variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
tp1,1,5120,13824,21.450,6.60,3406.53,2062,402.1,CUBLASLT
tp1,1,5120,13824,37.815,3.74,1932.30,2062,402.1,CUTLASS
tp1,2,5120,13824,21.334,13.27,3426.18,2062,400.7,CUBLASLT
tp1,2,5120,13824,36.375,7.78,2009.46,2062,400.7,CUTLASS
tp1,4,5120,13824,21.331,26.54,3428.92,2062,403.1,CUBLASLT
tp1,4,5120,13824,36.611,15.47,1997.82,2062,402.7,CUTLASS
tp1,8,5120,13824,21.165,53.51,3460.36,2062,422.0,CUBLASLT
tp1,8,5120,13824,35.539,31.87,2060.79,2062,409.8,CUTLASS
tp1,16,5120,13824,21.245,106.61,3456.39,2062,428.8,CUBLASLT
tp1,16,5120,13824,33.171,68.28,2213.71,2062,422.2,CUTLASS
tp1,32,5120,13824,27.754,163.21,2659.65,2062,430.5,CUBLASLT
tp1,32,5120,13824,33.255,136.22,2219.70,2062,428.8,CUTLASS
tp1,64,5120,13824,27.994,323.63,2664.36,2062,432.8,CUBLASLT
tp1,64,5120,13824,33.411,271.16,2232.38,2062,430.5,CUTLASS
tp1,128,5120,13824,28.067,645.58,2712.30,2062,435.4,CUBLASLT
tp1,128,5120,13824,33.642,538.59,2262.83,2062,435.3,CUTLASS
tp1,129,5120,13824,27.613,661.32,2759.77,2062,466.9,CUBLASLT
tp1,129,5120,13824,36.211,504.29,2104.49,2062,466.9,CUTLASS
tp1,256,5120,13824,28.323,1279.48,2798.49,2062,437.1,CUBLASLT
tp1,256,5120,13824,36.483,993.31,2172.57,2062,438.2,CUTLASS
tp1,257,5120,13824,31.530,1153.83,2516.37,2062,443.1,CUBLASLT
tp1,257,5120,13824,36.730,990.48,2160.12,2062,443.7,CUTLASS
tp1,512,5120,13824,41.267,1756.31,2072.67,2062,420.7,CUBLASLT
tp1,512,5120,13824,58.941,1229.66,1451.16,2062,427.8,CUTLASS
