variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,5120,16384,42.935,3.91,2016.99,2062,401.9,CUTLASS
nsa,1,5120,16384,23.242,7.22,3726.00,2062,402.6,CUBLASLT
nsa,2,5120,16384,44.839,7.48,1931.94,2062,402.6,CUTLASS
nsa,2,5120,16384,23.859,14.06,3630.76,2062,412.7,CUBLASLT
nsa,4,5120,16384,44.263,15.16,1958.28,2062,427.1,CUTLASS
nsa,4,5120,16384,23.782,28.22,3644.75,2062,418.3,CUBLASLT
nsa,8,5120,16384,39.043,34.38,2222.83,2062,418.3,CUTLASS
nsa,8,5120,16384,23.174,57.92,3744.97,2062,417.8,CUBLASLT
nsa,16,5120,16384,39.347,68.22,2211.07,2062,417.5,CUTLASS
nsa,16,5120,16384,23.783,112.87,3658.03,2062,416.6,CUBLASLT
nsa,32,5120,16384,39.165,137.08,2232.22,2062,414.3,CUTLASS
nsa,32,5120,16384,32.960,162.89,2652.46,2062,414.7,CUBLASLT
nsa,64,5120,16384,39.674,270.64,2225.06,2062,428.9,CUTLASS
nsa,64,5120,16384,33.059,324.80,2670.29,2062,428.9,CUBLASLT
nsa,128,5120,16384,39.911,538.07,2254.54,2062,432.4,CUTLASS
nsa,128,5120,16384,33.383,643.29,2695.41,2062,415.2,CUBLASLT
nsa,256,5120,16384,42.439,1012.03,2202.09,2062,413.4,CUTLASS
nsa,256,5120,16384,34.170,1256.94,2734.98,2062,398.6,CUBLASLT
nsa,1024,5120,16384,96.253,1784.87,1187.44,2062,398.7,CUTLASS
nsa,1024,5120,16384,81.984,2095.51,1394.11,2062,403.1,CUBLASLT
nsa,2048,5120,16384,162.048,2120.34,876.79,2062,403.1,CUTLASS
nsa,2048,5120,16384,143.789,2389.59,988.13,2062,407.7,CUBLASLT
nsa,4096,5120,16384,274.983,2499.04,718.80,2062,407.7,CUTLASS
nsa,4096,5120,16384,241.374,2847.01,818.88,2062,421.4,CUBLASLT
nsa,8192,5120,16384,516.014,2663.47,598.44,2062,422.1,CUTLASS
nsa,8192,5120,16384,439.163,3129.57,703.17,2062,448.6,CUBLASLT
nsa,16384,5120,16384,953.738,2882.11,556.87,2062,453.4,CUTLASS
nsa,16384,5120,16384,832.809,3300.61,637.73,2062,470.2,CUBLASLT
swa,1,5120,8192,23.590,3.56,1835.73,2062,484.7,CUTLASS
swa,1,5120,8192,13.834,6.06,3130.33,2062,499.2,CUBLASLT
swa,2,5120,8192,23.939,7.01,1809.74,2062,499.4,CUTLASS
swa,2,5120,8192,14.006,11.98,3093.20,2062,503.1,CUBLASLT
swa,4,5120,8192,23.859,14.06,1817.35,2062,503.1,CUTLASS
swa,4,5120,8192,14.253,23.54,3042.18,2062,503.1,CUBLASLT
swa,8,5120,8192,22.762,29.48,1908.18,2062,503.1,CUTLASS
swa,8,5120,8192,14.211,47.22,3056.36,2062,502.6,CUBLASLT
swa,16,5120,8192,21.571,62.22,2020.37,2062,503.3,CUTLASS
swa,16,5120,8192,13.885,96.66,3138.74,2062,503.5,CUBLASLT
swa,32,5120,8192,20.941,128.19,2095.24,2062,499.9,CUTLASS
swa,32,5120,8192,16.829,159.51,2607.19,2062,499.9,CUBLASLT
swa,64,5120,8192,21.219,253.01,2095.58,2062,491.9,CUTLASS
swa,64,5120,8192,16.870,318.24,2635.81,2062,491.5,CUBLASLT
swa,128,5120,8192,21.360,502.69,2136.98,2062,479.2,CUTLASS
swa,128,5120,8192,17.226,623.33,2649.82,2062,477.0,CUBLASLT
swa,256,5120,8192,23.043,931.95,2084.71,2062,463.2,CUTLASS
swa,256,5120,8192,17.302,1241.18,2776.44,2062,454.9,CUBLASLT
swa,1024,5120,8192,51.072,1681.93,1221.61,2062,426.6,CUTLASS
swa,1024,5120,8192,40.810,2104.86,1528.80,2062,391.7,CUBLASLT
swa,2048,5120,8192,85.123,2018.24,957.75,2062,387.7,CUTLASS
swa,2048,5120,8192,77.501,2216.73,1051.94,2062,387.7,CUBLASLT
swa,4096,5120,8192,137.098,2506.22,873.83,2062,386.9,CUTLASS
swa,4096,5120,8192,126.669,2712.56,945.77,2062,386.8,CUBLASLT
swa,8192,5120,8192,255.511,2689.49,768.44,2062,396.4,CUTLASS
swa,8192,5120,8192,222.500,3088.52,882.45,2062,396.9,CUBLASLT
swa,16384,5120,8192,451.793,3042.08,773.45,2062,411.6,CUTLASS
swa,16384,5120,8192,417.201,3294.31,837.58,2062,416.4,CUBLASLT
