variant,m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
nsa,1,5120,16384,14.710,11.41,3217.91,2062,435.5,CUBLASLT
nsa,1,5120,16384,28.150,5.96,1681.54,2062,438.8,CUTLASS
nsa,2,5120,16384,15.187,22.09,3118.05,2062,435.8,CUBLASLT
nsa,2,5120,16384,28.416,11.81,1666.45,2062,435.5,CUTLASS
nsa,4,5120,16384,15.283,43.91,3100.88,2062,436.4,CUBLASLT
nsa,4,5120,16384,28.010,23.96,1691.92,2062,435.8,CUTLASS
nsa,8,5120,16384,15.190,88.36,3124.72,2062,422.2,CUBLASLT
nsa,8,5120,16384,28.365,47.32,1673.35,2062,422.2,CUTLASS
nsa,16,5120,16384,15.139,177.31,3144.98,2062,427.4,CUBLASLT
nsa,16,5120,16384,28.000,95.87,1700.43,2062,423.1,CUTLASS
nsa,32,5120,16384,19.114,280.88,2506.37,2062,430.1,CUBLASLT
nsa,32,5120,16384,28.470,188.57,1682.71,2062,427.4,CUTLASS
nsa,64,5120,16384,18.694,574.38,2594.24,2062,431.0,CUBLASLT
nsa,64,5120,16384,28.214,380.57,1718.89,2062,430.2,CUTLASS
nsa,128,5120,16384,19.523,1099.98,2544.50,2062,433.1,CUBLASLT
nsa,128,5120,16384,29.834,719.81,1665.09,2062,433.1,CUTLASS
nsa,129,5120,16384,19.056,1135.74,2614.70,2062,438.8,CUBLASLT
nsa,129,5120,16384,28.746,752.89,1733.31,2062,440.7,CUTLASS
nsa,256,5120,16384,19.171,2240.35,2721.12,2062,435.8,CUBLASLT
nsa,256,5120,16384,29.203,1470.73,1786.35,2062,435.5,CUTLASS
nsa,257,5120,16384,21.411,2013.80,2443.42,2062,419.9,CUBLASLT
nsa,257,5120,16384,29.258,1473.70,1788.10,2062,421.6,CUTLASS
nsa,512,5120,16384,30.646,2802.95,1864.76,2062,431.7,CUBLASLT
nsa,512,5120,16384,30.077,2855.98,1900.04,2062,428.5,CUTLASS
nsa,513,5120,16384,27.437,3136.90,2088.31,2062,433.6,CUBLASLT
nsa,513,5120,16384,46.906,1834.89,1221.53,2062,432.9,CUTLASS
nsa,1024,5120,16384,44.899,3826.34,1494.66,2062,440.6,CUBLASLT
nsa,1024,5120,16384,50.723,3387.00,1323.05,2062,436.8,CUTLASS
nsa,1536,5120,16384,56.928,4526.74,1353.82,2062,432.3,CUBLASLT
nsa,1536,5120,16384,52.326,4924.86,1472.89,2062,433.1,CUTLASS
nsa,2048,5120,16384,82.042,4188.07,1060.82,2062,438.6,CUBLASLT
nsa,2048,5120,16384,76.736,4477.66,1134.17,2062,440.6,CUTLASS
nsa,4096,5120,16384,125.575,5472.39,1010.37,2062,442.3,CUBLASLT
nsa,4096,5120,16384,128.141,5362.80,990.14,2062,438.6,CUTLASS
nsa,5120,5120,16384,147.793,5812.14,993.29,2062,439.3,CUBLASLT
nsa,5120,5120,16384,149.348,5751.62,982.94,2062,435.6,CUTLASS
nsa,8192,5120,16384,221.293,6210.72,933.47,2062,451.9,CUBLASLT
nsa,8192,5120,16384,232.030,5923.33,890.27,2062,451.5,CUTLASS
nsa,10240,5120,16384,262.842,6536.20,937.50,2062,441.2,CUBLASLT
nsa,10240,5120,16384,280.506,6124.60,878.47,2062,440.3,CUTLASS
nsa,16384,5120,16384,413.803,6642.72,884.37,2062,462.3,CUBLASLT
nsa,16384,5120,16384,421.790,6516.94,867.62,2062,461.7,CUTLASS
nsa,20480,5120,16384,519.921,6608.65,857.14,2062,448.3,CUBLASLT
nsa,20480,5120,16384,507.579,6769.34,877.98,2062,448.1,CUTLASS
swa,1,5120,8192,9.888,8.48,2394.10,2062,481.2,CUBLASLT
swa,1,5120,8192,16.762,5.00,1412.29,2062,481.2,CUTLASS
swa,2,5120,8192,9.382,17.88,2524.75,2062,498.8,CUBLASLT
swa,2,5120,8192,16.694,10.05,1418.90,2062,490.0,CUTLASS
swa,4,5120,8192,9.363,35.84,2532.93,2062,497.3,CUBLASLT
swa,4,5120,8192,16.621,20.19,1426.86,2062,498.6,CUTLASS
swa,8,5120,8192,9.366,71.65,2538.24,2062,493.1,CUBLASLT
swa,8,5120,8192,16.618,40.38,1430.57,2062,497.3,CUTLASS
swa,16,5120,8192,9.750,137.66,2450.04,2062,491.3,CUBLASLT
swa,16,5120,8192,16.599,80.86,1439.12,2062,493.1,CUTLASS
swa,32,5120,8192,11.126,241.27,2167.65,2062,490.0,CUBLASLT
swa,32,5120,8192,16.707,160.67,1443.54,2062,490.3,CUTLASS
swa,64,5120,8192,11.194,479.61,2195.46,2062,487.8,CUBLASLT
swa,64,5120,8192,16.554,324.31,1484.60,2062,487.8,CUTLASS
swa,128,5120,8192,11.427,939.65,2230.99,2062,485.2,CUBLASLT
swa,128,5120,8192,17.171,625.32,1484.68,2062,485.3,CUTLASS
swa,129,5120,8192,10.992,984.47,2326.54,2062,469.7,CUBLASLT
swa,129,5120,8192,16.893,640.58,1513.84,2062,469.7,CUTLASS
swa,256,5120,8192,11.392,1885.08,2404.67,2062,481.1,CUBLASLT
swa,256,5120,8192,17.302,1241.18,1583.29,2062,484.9,CUTLASS
swa,257,5120,8192,11.715,1840.27,2345.19,2062,465.7,CUBLASLT
swa,257,5120,8192,16.755,1286.70,1639.74,2062,468.2,CUTLASS
swa,512,5120,8192,16.618,2584.53,1877.19,2062,481.1,CUBLASLT
swa,512,5120,8192,17.110,2510.21,1823.21,2062,466.2,CUTLASS
swa,513,5120,8192,15.456,2784.26,2023.49,2062,484.8,CUBLASLT
swa,513,5120,8192,25.299,1701.00,1236.22,2062,481.1,CUTLASS
swa,1024,5120,8192,22.986,3737.03,1687.87,2062,454.3,CUBLASLT
swa,1024,5120,8192,27.088,3171.12,1432.27,2062,472.8,CUTLASS
swa,1536,5120,8192,29.046,4436.03,1597.45,2062,486.2,CUBLASLT
swa,1536,5120,8192,28.403,4536.46,1633.61,2062,486.1,CUTLASS
swa,2048,5120,8192,35.747,4805.96,1510.66,2062,441.5,CUBLASLT
swa,2048,5120,8192,40.026,4292.18,1349.16,2062,441.5,CUTLASS
swa,4096,5120,8192,63.555,5406.30,1328.15,2062,438.1,CUBLASLT
swa,4096,5120,8192,65.434,5251.05,1290.01,2062,438.1,CUTLASS
swa,5120,5120,8192,77.316,5555.08,1288.41,2062,486.6,CUBLASLT
swa,5120,5120,8192,79.126,5428.01,1258.94,2062,486.6,CUTLASS
swa,8192,5120,8192,113.648,6046.69,1277.87,2062,417.6,CUBLASLT
swa,8192,5120,8192,122.109,5627.72,1189.33,2062,427.5,CUTLASS
swa,10240,5120,8192,138.256,6213.06,1270.37,2062,493.3,CUBLASLT
swa,10240,5120,8192,146.771,5852.61,1196.67,2062,493.3,CUTLASS
swa,16384,5120,8192,213.290,6443.76,1251.17,2062,420.0,CUBLASLT
swa,16384,5120,8192,217.639,6315.00,1226.17,2062,416.6,CUTLASS
swa,20480,5120,8192,271.943,6317.45,1204.96,2062,506.2,CUBLASLT
swa,20480,5120,8192,259.057,6631.69,1264.90,2062,504.3,CUTLASS
